DA ID,DA Name,SFDC NAME,Calculated
35227,Virtual Open Systems,Virtual Open Systems,FALSE
26737,Virtual Scale,,TRUE
27677,Virtual Security Research,,TRUE
36910,Virtual Sprockets,,TRUE
26823,"VirtualLogix, Inc.",,TRUE
32309,virtualop,,TRUE
27633,VirtualTech,,TRUE
27145,Virtuata,,TRUE
26323,Virtuozzo,Virtuozzo,FALSE
30189,Virtuozzo / OpenVZ,Virtuozzo,TRUE
37401,Virtusa,Virtusa Corporation,TRUE
39439,Virtusa Corporation,Virtusa Corporation,FALSE
28516,VirtusLab,,TRUE
30216,Virtustream,Virtustream,FALSE
31999,Visa,Visa,FALSE
39471,ViSenze,,TRUE
33845,Viseo,,TRUE
38643,Visibly,,TRUE
30760,Vision Engraving,,TRUE
26970,Vision Engraving Systems,,TRUE
37167,Vision Open Working Group,,TRUE
27177,Vision Service Plan,,TRUE
26576,Vision Systems GmbH,,TRUE
39972,Visionary Broadcast,,TRUE
39383,Visionware,,TRUE
38990,Viskan,,TRUE
37888,Visma,,TRUE
33452,ViSolve,,TRUE
31785,VisoTech,,TRUE
34923,Vispera,,TRUE
34313,Vista,,TRUE
33520,Vista Entertainment Solutions,,TRUE
27150,Vista-Silicon S.L.,,TRUE
29206,Vistaprint,Vistaprint,FALSE
33900,Vistar Media,,TRUE
31355,Visteon,,TRUE
31741,Visual Trading Systems,,TRUE
32350,VisualCV,,TRUE
27045,VisualDNA,,TRUE
29657,VisualOps,,TRUE
31100,Visvesvaraya,,TRUE
33996,Vitafy,,TRUE
37619,Vital,,TRUE
33193,Vital Software,,TRUE
34018,VitalHealth Software,,TRUE
30036,Vitalize,,TRUE
40156,Viv,,TRUE
33676,Vivace Studio,,TRUE
29631,VivaReal,,TRUE
28877,VivaRealBrasil,,TRUE
37285,Vivato,Vivato,FALSE
26667,Vivecode,,TRUE
30995,Viven Health,,TRUE
29633,Vivibe,,TRUE
33454,Vivid Compass Ltd,,TRUE
29315,Vivid Seats,,TRUE
38833,VividCortex,VividCortex,FALSE
29820,Vivint,,TRUE
32011,Vivint Smart Home,,TRUE
30839,Vivint Solar,,TRUE
37551,VIVO,,TRUE
27728,VIVO Systems,,TRUE
32809,VIX,,TRUE
28972,Viyet,,TRUE
29974,Viz Expres,,TRUE
32899,VizExplorer,,TRUE
37990,Vizlegal,,TRUE
26845,Vizuri,Vizuri,FALSE
34972,VK Media AB,,TRUE
40281,Vkarma,,TRUE
36985,Vlocity,Vlocity,FALSE
33202,VMFarms,,TRUE
37014,VMFive,,TRUE
26175,VMTurbo,VMTurbo,FALSE
26893,VMware,"VMware, Inc.",TRUE
